memory_budget_mb,n,insert_time_ms,lookup_time_ms,throughput_ops_sec,throughput_stdev_pct,memory_bytes,memory_kb,memory_model_kb,m_bits,k_hashes,fpr_empirical,fpr_theoretical,false_positive_count,negative_query_count,fill_ratio,is_oom
16,1000,2.39,0.24,14650922,13.9,1304,1.3,1.2,9586,7,0.011800,0.010035,59,5000,0.5230,false
16,5000,2.01,0.34,14695736,7.2,1208,1.2,5.9,47926,7,0.010000,0.010039,50,5000,0.5207,false
16,10000,3.12,0.34,14903518,12.7,10920,10.7,11.7,95851,7,0.013800,0.010039,69,5000,0.5184,false
16,25000,4.17,0.31,15932789,4.2,29960,29.3,29.3,239627,7,0.012200,0.010039,61,5000,0.5186,false
16,50000,11.62,0.32,15610670,12.8,61368,59.9,58.5,479253,7,0.009800,0.010039,49,5000,0.5180,false
16,100000,15.31,0.34,14775414,4.8,121008,118.2,117.0,958506,7,0.009200,0.010039,46,5000,0.5180,false
16,250000,24.43,0.35,14254893,4.9,298608,291.6,292.5,2396265,7,0.009400,0.010039,47,5000,0.5183,false
16,500000,53.83,0.33,15368821,2.6,1049584,1025.0,585.1,4792530,7,0.008400,0.010039,42,5000,0.5181,false
16,1000000,102.56,0.45,11150336,37.9,2095680,2046.6,1170.1,9585059,7,0.011600,0.010039,58,5000,0.5181,false
16,2000000,326.46,0.75,6668000,7.3,3145848,3072.1,2340.1,19170117,7,0.009200,0.010039,46,5000,0.5181,false
32,1000,0.60,0.22,16113180,9.6,1304,1.3,1.2,9586,7,0.011800,0.010035,59,5000,0.5230,false
32,5000,6.25,0.30,16698617,6.5,1216,1.2,5.9,47926,7,0.010000,0.010039,50,5000,0.5207,false
32,10000,3.73,0.30,16569596,2.7,10912,10.7,11.7,95851,7,0.013800,0.010039,69,5000,0.5184,false
32,25000,5.51,0.32,15823661,10.9,29960,29.3,29.3,239627,7,0.012200,0.010039,61,5000,0.5186,false
32,50000,6.54,0.30,16663598,10.4,59536,58.1,58.5,479253,7,0.009800,0.010039,49,5000,0.5180,false
32,100000,10.28,0.34,14516085,4.4,121144,118.3,117.0,958506,7,0.009200,0.010039,46,5000,0.5180,false
32,250000,23.86,0.34,14589126,4.9,300968,293.9,292.5,2396265,7,0.009400,0.010039,47,5000,0.5183,false
32,500000,50.20,0.32,15497677,3.5,1042672,1018.2,585.1,4792530,7,0.008400,0.010039,42,5000,0.5181,false
32,1000000,123.55,0.76,6573371,35.1,2084216,2035.4,1170.1,9585059,7,0.011600,0.010039,58,5000,0.5181,false
32,2000000,305.90,0.80,6235932,5.6,3144712,3071.0,2340.1,19170117,7,0.009200,0.010039,46,5000,0.5181,false
64,1000,2.98,0.21,16416011,4.4,1304,1.3,1.2,9586,7,0.011800,0.010035,59,5000,0.5230,false
64,5000,3.56,0.29,17132910,7.0,5448,5.3,5.9,47926,7,0.010000,0.010039,50,5000,0.5207,false
64,10000,2.64,0.30,16662307,4.2,13216,12.9,11.7,95851,7,0.013800,0.010039,69,5000,0.5184,false
64,25000,10.94,0.30,16943954,4.3,32880,32.1,29.3,239627,7,0.012200,0.010039,61,5000,0.5186,false
64,50000,5.42,0.30,16667695,3.0,62256,60.8,58.5,479253,7,0.009800,0.010039,49,5000,0.5180,false
64,100000,16.84,0.30,16662210,9.1,121704,118.9,117.0,958506,7,0.009200,0.010039,46,5000,0.5180,false
64,250000,29.36,0.33,15042186,3.3,300328,293.3,292.5,2396265,7,0.009400,0.010039,47,5000,0.5183,false
64,500000,49.93,0.31,16117815,5.3,1087848,1062.4,585.1,4792530,7,0.008400,0.010039,42,5000,0.5181,false
64,1000000,117.35,0.57,8824642,29.4,2180368,2129.3,1170.1,9585059,7,0.011600,0.010039,58,5000,0.5181,false
