memory_budget_mb,n,insert_time_ms,lookup_time_ms,throughput_ops_sec,throughput_stdev_pct,memory_bytes,memory_kb,memory_model_kb,collision_count,collision_rate,max_chain_len,avg_chain_len,table_capacity,resize_count,is_oom
16,1000,0.28,0.03,113646703,85.8,87256,85.2,97.9,297,0.2970,4,1.28,2027,1,false
16,5000,0.72,0.09,54719263,28.0,435608,425.4,488.3,1524,0.3048,5,1.26,10007,1,false
16,10000,5.24,0.09,54687842,23.3,850392,830.5,976.7,3186,0.3186,5,1.27,20021,1,false
16,25000,5.45,0.09,57121804,24.8,2144304,2094.0,2441.7,7780,0.3112,6,1.28,50033,1,false
16,50000,15.55,0.11,45232802,18.9,4292600,4192.0,4883.1,15496,0.3099,6,1.27,100043,1,false
16,100000,27.57,0.33,15120987,22.7,8942104,8732.5,9765.7,31127,0.3113,6,1.27,200009,1,false
16,250000,0.00,0.00,0,0.0,16777216,16384.0,0.0,0,0.0000,0,0.00,0,0,true
16,500000,0.00,0.00,0,0.0,16777216,16384.0,0.0,0,0.0000,0,0.00,0,0,true
16,1000000,0.00,0.00,0,0.0,16777216,16384.0,0.0,0,0.0000,0,0.00,0,0,true
16,2000000,0.00,0.00,0,0.0,16777216,16384.0,0.0,0,0.0000,0,0.00,0,0,true
32,1000,0.79,0.03,119311296,44.2,87256,85.2,97.9,297,0.2970,4,1.28,2027,1,false
32,5000,2.86,0.07,71899255,35.4,435608,425.4,488.3,1524,0.3048,5,1.26,10007,1,false
32,10000,5.74,0.08,60942352,34.6,849960,830.0,976.7,3186,0.3186,5,1.27,20021,1,false
32,25000,3.20,0.10,52209779,19.1,2144280,2094.0,2441.7,7780,0.3112,6,1.28,50033,1,false
32,50000,7.87,0.11,47286578,25.8,4292576,4192.0,4883.1,15496,0.3099,6,1.27,100043,1,false
32,100000,20.61,0.16,31748955,9.1,9002736,8791.7,9765.7,31127,0.3113,6,1.27,200009,1,false
32,250000,81.36,0.42,11824685,10.4,21777240,21266.8,24414.3,77851,0.3114,7,1.27,500029,1,false
32,500000,0.00,0.00,0,0.0,33554432,32768.0,0.0,0,0.0000,0,0.00,0,0,true
32,1000000,0.00,0.00,0,0.0,33554432,32768.0,0.0,0,0.0000,0,0.00,0,0,true
32,2000000,0.00,0.00,0,0.0,33554432,32768.0,0.0,0,0.0000,0,0.00,0,0,true
64,1000,0.82,0.03,104331983,38.7,87256,85.2,97.9,297,0.2970,4,1.28,2027,1,false
64,5000,2.58,0.11,46047618,45.5,435608,425.4,488.3,1524,0.3048,5,1.26,10007,1,false
64,10000,4.00,0.08,62021273,29.2,849920,830.0,976.7,3186,0.3186,5,1.27,20021,1,false
64,25000,3.75,0.10,48660380,26.9,2144208,2094.0,2441.7,7780,0.3112,6,1.28,50033,1,false
