memory_budget_mb,n,structure,insert_time_ms,lookup_time_ms,throughput_ops_sec,throughput_stdev_pct,memory_kb,collision_rate,fpr_empirical,is_oom
16,1000,HashTable,0.28,0.03,113646703,85.8,85.2,0.2970,0.000000,false
16,1000,BloomFilter,2.39,0.24,14650922,13.9,1.3,0.0000,0.011800,false
16,5000,HashTable,0.72,0.09,54719263,28.0,425.4,0.3048,0.000000,false
16,5000,BloomFilter,2.01,0.34,14695736,7.2,1.2,0.0000,0.010000,false
16,10000,HashTable,5.24,0.09,54687842,23.3,830.5,0.3186,0.000000,false
16,10000,BloomFilter,3.12,0.34,14903518,12.7,10.7,0.0000,0.013800,false
16,25000,HashTable,5.45,0.09,57121804,24.8,2094.0,0.3112,0.000000,false
16,25000,BloomFilter,4.17,0.31,15932789,4.2,29.3,0.0000,0.012200,false
16,50000,HashTable,15.55,0.11,45232802,18.9,4192.0,0.3099,0.000000,false
16,50000,BloomFilter,11.62,0.32,15610670,12.8,59.9,0.0000,0.009800,false
16,100000,HashTable,27.57,0.33,15120987,22.7,8732.5,0.3113,0.000000,false
16,100000,BloomFilter,15.31,0.34,14775414,4.8,118.2,0.0000,0.009200,false
16,250000,HashTable,0.00,0.00,0,0.0,16384.0,0.0000,0.000000,true
16,250000,BloomFilter,24.43,0.35,14254893,4.9,291.6,0.0000,0.009400,false
16,500000,HashTable,0.00,0.00,0,0.0,16384.0,0.0000,0.000000,true
16,500000,BloomFilter,53.83,0.33,15368821,2.6,1025.0,0.0000,0.008400,false
16,1000000,HashTable,0.00,0.00,0,0.0,16384.0,0.0000,0.000000,true
16,1000000,BloomFilter,102.56,0.45,11150336,37.9,2046.6,0.0000,0.011600,false
16,2000000,HashTable,0.00,0.00,0,0.0,16384.0,0.0000,0.000000,true
16,2000000,BloomFilter,326.46,0.75,6668000,7.3,3072.1,0.0000,0.009200,false
32,1000,HashTable,0.79,0.03,119311296,44.2,85.2,0.2970,0.000000,false
32,1000,BloomFilter,0.60,0.22,16113180,9.6,1.3,0.0000,0.011800,false
32,5000,HashTable,2.86,0.07,71899255,35.4,425.4,0.3048,0.000000,false
32,5000,BloomFilter,6.25,0.30,16698617,6.5,1.2,0.0000,0.010000,false
32,10000,HashTable,5.74,0.08,60942352,34.6,830.0,0.3186,0.000000,false
32,10000,BloomFilter,3.73,0.30,16569596,2.7,10.7,0.0000,0.013800,false
32,25000,HashTable,3.20,0.10,52209779,19.1,2094.0,0.3112,0.000000,false
32,25000,BloomFilter,5.51,0.32,15823661,10.9,29.3,0.0000,0.012200,false
32,50000,HashTable,7.87,0.11,47286578,25.8,4192.0,0.3099,0.000000,false
32,50000,BloomFilter,6.54,0.30,16663598,10.4,58.1,0.0000,0.009800,false
32,100000,HashTable,20.61,0.16,31748955,9.1,8791.7,0.3113,0.000000,false
32,100000,BloomFilter,10.28,0.34,14516085,4.4,118.3,0.0000,0.009200,false
32,250000,HashTable,81.36,0.42,11824685,10.4,21266.8,0.3114,0.000000,false
32,250000,BloomFilter,23.86,0.34,14589126,4.9,293.9,0.0000,0.009400,false
32,500000,HashTable,0.00,0.00,0,0.0,32768.0,0.0000,0.000000,true
32,500000,BloomFilter,50.20,0.32,15497677,3.5,1018.2,0.0000,0.008400,false
32,1000000,HashTable,0.00,0.00,0,0.0,32768.0,0.0000,0.000000,true
32,1000000,BloomFilter,123.55,0.76,6573371,35.1,2035.4,0.0000,0.011600,false
32,2000000,HashTable,0.00,0.00,0,0.0,32768.0,0.0000,0.000000,true
32,2000000,BloomFilter,305.90,0.80,6235932,5.6,3071.0,0.0000,0.009200,false
64,1000,HashTable,0.82,0.03,104331983,38.7,85.2,0.2970,0.000000,false
64,1000,BloomFilter,2.98,0.21,16416011,4.4,1.3,0.0000,0.011800,false
64,5000,HashTable,2.58,0.11,46047618,45.5,425.4,0.3048,0.000000,false
64,5000,BloomFilter,3.56,0.29,17132910,7.0,5.3,0.0000,0.010000,false
64,10000,HashTable,4.00,0.08,62021273,29.2,830.0,0.3186,0.000000,false
64,10000,BloomFilter,2.64,0.30,16662307,4.2,12.9,0.0000,0.013800,false
64,25000,HashTable,3.75,0.10,48660380,26.9,2094.0,0.3112,0.000000,false
